,champion,role,winRate,playPercent,banRate,experience,kills,death,assist,largestKillingSpree,totalDamageDealtToChampions,totalDamageTaken,totalHeal,minionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,goldEarned,overallPosition
52,Graves,Jungle,0.4779,0.0708,0.0012,6.88,6.98,6.19,6.4,10,17916,23987,7573,64.7,10.12,77.02,12040,30
53,Hecarim,Jungle,0.4974,0.0668,0.009300000000000001,5.26,7.73,6.24,7.97,11,16174,33133,10921,43.8,7.7,73.31,11606,11
54,Heimerdinger,Middle,0.5481,0.0102,0.0009,7.1,5.93,6.24,7.07,9,25302,17879,1812,172.3,1.23,4.07,11669,18
55,Heimerdinger,Top,0.5279,0.012199999999999999,0.0009,6.05,5.16,6.19,5.88,9,24247,17845,1629,181.0,1.32,2.31,11557,36
56,Illaoi,Top,0.4911,0.0197,0.0021,5.35,5.04,6.38,4.79,8,21618,31539,7143,188.6,1.19,1.65,11507,32
57,Irelia,Top,0.51,0.044199999999999996,0.003,5.91,7.16,6.09,5.15,11,18073,27902,7680,179.2,1.74,2.37,11850,15
58,Ivern,Jungle,0.4661,0.0141,0.0005,6.53,2.5,5.19,11.68,5,8125,16229,6774,18.4,9.65,69.8,9607,48
59,Ivern,Support,0.385,0.0021,0.0005,17.07,1.74,6.44,12.21,4,7118,18459,3330,17.5,3.25,14.77,9355,33
60,Janna,Support,0.5256000000000001,0.0944,0.013600000000000001,8.11,1.51,4.78,15.22,5,6688,14862,7327,15.2,0.09,0.12,9725,5
61,JarvanIV,Jungle,0.5336,0.08199999999999999,0.011200000000000002,5.51,6.46,5.59,11.12,9,14390,27252,7700,43.5,7.21,65.9,11339,4
62,JarvanIV,Top,0.5264,0.020499999999999997,0.011200000000000002,6.39,6.16,5.8,8.96,8,17163,24867,2756,165.9,2.02,3.6,11584,10
63,Jax,Jungle,0.5345,0.0319,0.0066,7.18,7.15,5.86,5.81,12,15062,26643,8463,51.7,8.85,70.91,11796,18
64,Jax,Top,0.5112,0.051100000000000007,0.0066,6.05,6.33,6.26,4.39,9,17048,24992,3372,170.7,3.27,4.78,11716,33
65,Jayce,Middle,0.5123,0.0194,0.0106,9.53,8.33,6.13,6.48,9,22516,20978,2740,166.7,2.66,9.13,12083,11
66,Jayce,Top,0.5146000000000001,0.0484,0.0106,7.29,7.02,6.12,6.07,9,21497,21531,2664,175.4,2.2,4.33,11872,7
67,Jhin,ADC,0.4778,0.1457,0.0019,9.36,7.53,6.32,8.53,11,21423,17971,3420,179.4,1.52,5.86,12496,13
68,Jinx,ADC,0.5049,0.08800000000000001,0.0008,6.07,7.51,6.69,7.47,11,20596,18623,2939,190.5,2.35,8.78,12882,14
69,Kalista,ADC,0.4857,0.0574,0.0058,4.86,8.19,6.81,6.59,10,19391,20941,3739,184.1,2.76,8.55,12683,17
70,Karma,Middle,0.5218,0.013999999999999999,0.0023,10.4,4.95,5.31,9.46,7,18710,16967,2650,151.2,1.16,5.46,10748,34
71,Karma,Support,0.4926,0.0762,0.0023,6.98,2.88,5.83,13.46,8,13159,16188,2798,28.7,0.35,0.57,9875,16
72,Karthus,Middle,0.501,0.012199999999999999,0.0003,4.71,6.91,7.03,8.72,11,28349,22918,4478,178.6,2.14,11.21,12252,12
73,Karthus,Top,0.5002,0.0025,0.0003,10.34,6.16,7.25,8.12,8,27229,22800,4396,188.2,2.33,7.4,12232,18
74,Kassadin,Middle,0.5029,0.048600000000000004,0.011399999999999999,5.19,7.76,5.68,5.95,11,20067,23556,3790,154.1,1.56,6.31,11292,23
75,Katarina,Middle,0.5216,0.0902,0.023399999999999997,7.14,9.95,7.19,5.69,11,22138,23381,5066,151.3,1.41,2.95,11949,3
76,Kayle,Middle,0.5452,0.0060999999999999995,0.001,8.38,6.42,6.09,6.73,8,18956,23892,7745,183.5,3.44,10.4,12256,22
77,Kayle,Top,0.5375,0.0165,0.001,6.23,5.48,6.16,5.81,9,18650,23549,7198,193.4,3.06,6.15,12146,24
78,Kayn,Jungle,0.4885,0.1582,0.0256,4.8,7.96,6.79,6.46,11,17660,30830,11869,47.5,9.3,74.02,11818,2
79,Kennen,Middle,0.5042,0.0051,0.0014000000000000002,7.9,6.87,6.42,7.11,9,20775,20599,2259,150.0,0.89,2.48,11207,38
80,Kennen,Top,0.4947,0.029900000000000003,0.0014000000000000002,4.72,5.26,5.93,5.97,9,18928,20220,2191,167.2,1.05,2.21,11055,45
